Political Parties\States,Total Seats per State,Bharatiya Janata Party - BJP,Indian National Congress - INC,Samajwadi Party - SP,All India Trinamool Congress - AITC,Dravida Munnetra Kazhagam - DMK,Telugu Desam - TDP,Janata Dal  (United) - JD(U),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Nationalist Congress Party - Sharadchandra Pawar - NCPSP,Shiv Sena - SHS,Lok Janshakti Party(Ram Vilas) - LJPRV,Yuvajana Sramika Rythu Congress Party - YSRCP,Rashtriya Janata Dal - RJD,Communist Party of India  (Marxist) - CPI(M),Indian Union Muslim League - IUML,Aam Aadmi Party - AAAP,Jharkhand Mukti Morcha - JMM,Janasena Party - JnP,Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),Janata Dal  (Secular) - JD(S),Viduthalai Chiruthaigal Katchi - VCK,Communist Party of India - CPI,Rashtriya Lok Dal - RLD,Jammu & Kashmir National Conference - JKN,"United People's Party, Liberal - UPPL",Asom Gana Parishad - AGP,Hindustani Awam Morcha (Secular) - HAMS,Kerala Congress - KEC,Revolutionary Socialist Party - RSP,Nationalist Congress Party - NCP,Voice of the People Party - VOTPP,Zoram Peopleâ€™s Movement - ZPM,Shiromani Akali Dal - SAD,Rashtriya Loktantrik Party - RLTP,Bharat Adivasi Party - BHRTADVSIP,Sikkim Krantikari Morcha - SKM,Marumalarchi Dravida Munnetra Kazhagam - MDMK,Aazad Samaj Party (Kanshi Ram) - ASPKR,Apna Dal (Soneylal) - ADAL,AJSU Party - AJSUP,All India Majlis-E-Ittehadul Muslimeen - AIMIM,Independent - IND
Andaman and Nicobar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,25,3,,,,,16,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,14,9,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
Bihar,40,12,3,,,,,12,,,,5,,4,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,1
Chandigarh,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,11,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Goa,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,26,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,5,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1
Jharkhand,14,8,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,
Karnataka,28,17,9,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Kerala,20,1,14,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
Ladakh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Lakshadweep,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,48,9,13,,,,,,9,8,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Manipur,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Mizoram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Nagaland,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,21,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,13,,7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,2
Rajasthan,25,14,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Sikkim,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Tamil Nadu,39,,9,,,22,,,,,,,,,2,1,,,,,,2,2,,,,,,,,,,,,,,,1,,,,,
Telangana,17,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Tripura,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,80,33,6,37,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,
Uttarakhand,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,42,12,1,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Seats per Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
